_id,identifier,bridgeName,destAmount,destBlockNumber,destBlockTimeStamp,destTokenDecimals,destTokenName,destTokenSymbol,fromChainId,gasUsed,isPartialTx,isSocketTx,recipient,sender,srcAmount,srcBlockNumber,srcBlockTimeStamp,srcTokenDecimals,srcTokenName,srcTokenSymbol,toChainId,srcTxStatus,destTxStatus
65fee49fe99dac43d6870feb,1469331-42161-across,across,99914002066635374,29678036,1711203476,18,Wrapped Ether,WETH,42161,270798,False,False,0xe0ceed3ef907744ad71c6fafae0241e89cc64a7e,0xe0ceed3ef907744ad71c6fafae0241e89cc64a7e,100000000000000000,193393484,1711203475,18,Wrapped Ether,WETH,324,COMPLETED,COMPLETED
65fee4d0e99dac43d6873b00,0x97aa448a455ea0d7f79d0151b45d53d181af437d557c026992576cb8970d99de,hop,864134192260551,12207086,1711203519,18,Token,TOKEN,59144,218702,False,False,0x5b16ad13f85792f10beb353e560411fded593a26,0x5b16ad13f85792f10beb353e560411fded593a26,1000000000000000,3086375,1711203473,18,Token,TOKEN,8453,COMPLETED,COMPLETED
65fee4b2e99dac43d6872121,110-773817-184,stargate,19988000000000000,12207071,1711203489,18,Token,TOKEN,42161,493166,False,False,0x0456A315b89d294FBc0D351257B3618aa354bA0E,0x0456a315b89d294fbc0d351257b3618aa354ba0e,20000000000000000,193393471,1711203472,18,Ethereum,ETH,8453,COMPLETED,COMPLETED
65fee4b2e99dac43d6872126,110-773818-184,stargate,1773935000000000,12207071,1711203489,18,Token,TOKEN,42161,493178,False,False,0x1154C4efbfDeDE72131Bc40568aaa4decB991E9f,0x1154c4efbfdede72131bc40568aaa4decb991e9f,1775000000000000,193393473,1711203472,18,Ethereum,ETH,8453,COMPLETED,COMPLETED
65fee4d0e99dac43d6873abe,0x430067963f38eff6bb11274ef4155f274432fc121497eb03a404e272d6732c8d-connext,connext,554833702499108992,33076030,1711203520,18,xDAI,XDAI,56,323234,False,False,0xF70687941D66F5591f58d7aB5346B06c89BB4Bec,0xf70687941d66f5591f58d7ab5346b06c89bb4bec,559698021386682185,37222426,1711203471,18,Dai Token,DAI,100,COMPLETED,COMPLETED
65fee4d0e99dac43d6873ace,0x44509c2b911e13c16fd980efdec38cd2d46c9869bee5aa66e8b9cac10e15d930,hop,31328970057276009,19497844,1711203503,18,Ethereum,ETH,10,220945,False,False,0x33d70ef77fc3c4b69c4093ba0cabf1f2b5937cae,0x33d70ef77fc3c4b69c4093ba0cabf1f2b5937cae,35281592549229955,117802347,1711203471,18,Ethereum,ETH,1,COMPLETED,COMPLETED
65fee4d0e99dac43d6873b92,111-713996-184,stargate,19000831263871191,12207087,1711203521,18,Token,TOKEN,10,421265,False,False,0xB7D0A47AF3264e7E35bD6E75D7efB84bdebD264b,0xb7d0a47af3264e7e35bd6e75d7efb84bdebd264b,19012238607035411,117802347,1711203471,18,Ethereum,ETH,8453,COMPLETED,COMPLETED
65fee4d0e99dac43d6873ba6,111-713997-184,stargate,9994000000000,12207088,1711203523,18,Token,TOKEN,10,421217,False,False,0xF1191FE3ed6243d1D619268Dc746DcAE65169994,0xf1191fe3ed6243d1d619268dc746dcae65169994,10000000000000,117802347,1711203471,18,Ethereum,ETH,8453,COMPLETED,COMPLETED
65fee4e5e99dac43d6874bb3,0xcfb36e33d8666ef0ac37de95095bd6d8a474e805654e845616e564bd830a5ac6-connext,connext,417596215831428,54991404,1711203534,18,Wrapped Ether,WETH,56,560332,False,False,0x050e198e36a73a1e32f15c3afc58c4506d82f657,0x425a7e45c625f53e22a7f480a891abadaa5abc4d,416990968840717,37222426,1711203471,18,Ethereum Token,ETH,137,COMPLETED,COMPLETED
65fee4e5e99dac43d6874b91,0xa3f9bb07b479da4eb460367ebee71419514703c3afb94a71a746ba0836745ed3-refuel,refuel-bridge,5715114667000000,37222447,1711203534,18,BNB,BNB,42161,148585,False,True,0x408807222ecb6ef88246b784f3e6aa49ef0d79ca,0x408807222ecb6ef88246b784f3e6aa49ef0d79ca,1000000000000000,193393464,1711203470,18,ETH,ETH,56,COMPLETED,COMPLETED
65fee4e5e99dac43d6874b7a,0x7359a467c9df0fa2b541a0cb1bb8d18b16918bbed5db462687543e4e770253a8,celer,3048566008735895767,29678098,1711203538,18,Wrapped Ether,WETH,42161,267890,False,False,0xbdeaa00788d39d4d1cea9467233d95f33b0473cf,0xbdeaa00788d39d4d1cea9467233d95f33b0473cf,3049250000000000000,193393459,1711203469,18,Wrapped Ether,WETH,324,COMPLETED,COMPLETED
65fee4d0e99dac43d6873b4e,110-3619912-111,stargate,271137220000000000,117802369,1711203515,18,Ethereum,ETH,42161,500183,False,False,0xd3dF1949ABfb17d3c6431FAf423e782bf2872ecc,0xd3df1949abfb17d3c6431faf423e782bf2872ecc,271300000000000000,193393455,1711203468,18,Ethereum,ETH,10,COMPLETED,COMPLETED
